permalink+accelerator,permalink,cohort_year,accelerator,founders
shipbob@y combinator,shipbob,2014,y combinator,"Anthony Watson, Dhruv Saxena, Divey Gulati, George Wojciechowski, Jivko Bojinov"
shippo@500startups,shippo,2014,500startups,"Laura Behrens Wu, Simon Kreuz"
shogun@y combinator,shogun,2018,y combinator,"Damien Kan, Finbarr Taylor, Nick Raushenbush"
shone-io@y combinator,shone-io,2018,y combinator,"Antoine de Maleprade, Clement Renault, Ugo Vollmer"
72lux@500startups,72lux,2011,500startups,Heather Marie
shoppinpal@TheAlchemistAccelerator,shoppinpal,2014,TheAlchemistAccelerator,"Pulkit Singhal, Sriram Subramanian"
shopseen@500startups,shopseen,2013,500startups,Adeel Ahmad
shoptiques@y combinator,shoptiques,2012,y combinator,Olga Vidisheva
shopularapp@y combinator,shopularapp,2012,y combinator,"Navneet Loiwal, Tommy Tsai"
shortlist-events@TheAlchemistAccelerator,shortlist-events,2016,TheAlchemistAccelerator,"Joey Frasier, Martin Konrad"
shotput@y combinator,shotput,2015,y combinator,"James Steinberg, Praful Mathur"
shout-tv@y combinator,shout-tv,2014,y combinator,"Henri Stern, Zachariah Reitano"
shoutfit@y combinator,shoutfit,2006,y combinator,
shred-video@y combinator,shred-video,2015,y combinator,"Mark Godfrey, Mike Allen"
shypmate@y combinator,shypmate,2016,y combinator,"Chisom Ebinama, Kwadwo Nyarko, Perry Ogwuche, Tochukwu Okoro"
siasto@y combinator,siasto,2011,y combinator,"Courtland Allen, Niccolo Pantucci"
sickweather@500startups,sickweather,2016,500startups,"Graham Dodge, James Sajor, Michael Belt"
sidelines@500startups,sidelines,2013,500startups,"Arka Ray, Marios Assiotis"
sidelineswap@500startups,sidelineswap,2016,500startups,"Anthony Piazza, Brendan Candon, Conor McDonough, Eric Carlstrom, Nick Gantsoudes"
sift-science@y combinator,sift-science,2011,y combinator,"Brandon Ballinger, Jason Tan"
sigopt@y combinator,sigopt,2015,y combinator,"Patrick Hayes, Scott Clark"
sigsense-tech@Highway1,sigsense-tech,2014,Highway1,"Matt Burtch, Nick McGranahan"
silkroad-images@500startups,silkroad-images,2014,500startups,Riham Mahafzah
silver@y combinator,silver,2016,y combinator,
silvernest@500startups,silvernest,2016,500startups,"Chuck Mckenney, Wendi Burkhardt"
silverpush@500startups,silverpush,2013,500startups,"Alex Modon, Hitesh Chawla, Mudit Seth"
heysimbi@y combinator,heysimbi,2016,y combinator,"Carlos Argüello, Kjerstin Erickson, Nick Zhebrun"
simless-inc-@500startups,simless-inc-,2016,500startups,
simmr@500startups,simmr,2014,500startups,"Neeharika Bhartiya, Wendy Lin"
simperium@y combinator,simperium,2010,y combinator,"Fred Cheng, Michael Johnston, Michael Johnston, Mike Johnston"
simple-habit@y combinator,simple-habit,2017,y combinator,Yunha Kim
simplecitizen@y combinator,simplecitizen,2016,y combinator,"Ayde Soto, Brady Stoddard, Sam Stoddard"
simplelegal@y combinator,simplelegal,2013,y combinator,"Nathan Wenzel, Patrik Outericky"
storytree@500startups,storytree,2011,500startups,"Alexandre Oliveira, Matthew Sullivan"
simplifimed-inc@500startups,simplifimed-inc,2016,500startups,Chinmay Singh
simplifund@500startups,simplifund,2016,500startups,"Douglas Scott, Jay Lipman"
uplette@500startups,uplette,2014,500startups,"Alexey Adamsky, Amanda Parker"
simplyinsured@y combinator,simplyinsured,2013,y combinator,"Bob Aspell, Vivek Shah"
sinovia@y combinator,sinovia,2017,y combinator,"George Burkhard, Whitney Gaynor"
sirum@y combinator,sirum,2015,y combinator,"Adam Kircher, George Wang, Kiah Williams"
sixa@y combinator,sixa,2016,y combinator,"Ievgen Nechaiev, Mykola Minchenko"
designlive@y combinator,designlive,2017,y combinator,"Alex Tapper, Andrew King, David Head"
sketchbox@y combinator,sketchbox,2018,y combinator,"Joe Connolly, Peter Le Bek"
sketchdeck@y combinator,sketchdeck,2014,y combinator,"Christopher Finneral, David Mack"
skurun@TheAlchemistAccelerator,skurun,2013,TheAlchemistAccelerator,Ralph Acosta
skylights@y combinator,skylights,2016,y combinator,"David Dicko, Florent Bolzinger, Laurence Fornari, Rateb Zaouk"
skymind-global-ventures@y combinator,skymind-global-ventures,2016,y combinator,"Adam Gibson, Chris Nicholson"
skyways@y combinator,skyways,2017,y combinator,"Charles Acknin, Chris Craighill"
slang@500startups,slang,2016,500startups,
slapvid@y combinator,slapvid,2007,y combinator,
slicedinvesting@y combinator,slicedinvesting,2014,y combinator,"Akhil Lodha, Michael Furlong"
slicklogin@UpwestLabs,slicklogin,2013,UpwestLabs,"Eran Galili, Or Zelig, Ori Kabeli"
slidebean@500startups,slidebean,2014,500startups,"Jose Cayasso (Caya), Jose Enrique Bolanos, Vinicio Chanto"
slidemail@y combinator,slidemail,2015,y combinator,Vu Tran
slik@y combinator,slik,2017,y combinator,"Soroush Ghodsi, Stefan Stokic"
slinkset@y combinator,slinkset,2008,y combinator,"Brett Gibson, John Baunach"
smarking@y combinator,smarking,2015,y combinator,"Maokai Lin, Wen Sang"
smart-alto@y combinator,smart-alto,2017,y combinator,"Hassan Riggs, Kurt Edwards, Wayne A Anderson Jr"
smartasset@y combinator,smartasset,2012,y combinator,"Michael Carvin, Philip Camilleri"
smartercookie@ImagineK12,smartercookie,2012,ImagineK12,"Michael Gerson, Tess Brustein"
smartestk12@ImagineK12,smartestk12,2014,ImagineK12,
smarthires@y combinator,smarthires,2015,y combinator,"Christian Kletzl, Stephan Kletzl"
smartpath@y combinator,smartpath,2016,y combinator,"Alok Deshpande, Jon Pokrzyk, Stuart Lawder"
smartspot-8bf6@y combinator,smartspot-8bf6,2015,y combinator,Moawia Eldeeb
smbrate@y combinator,smbrate,2017,y combinator,
smile-identity@500startups,smile-identity,2017,500startups,"Mark Straub, William Bares"
smyte@y combinator,smyte,2015,y combinator,"Josh Yudaken, Julian Tempelsman, Pete Hunt"
snackpass@y combinator,snackpass,2018,y combinator,"Jamie Marshall, Jonathan Cameron, Kevin Tan"
wyre@BoostVC,wyre,2013,BoostVC,"Ioannis Giannaros, Michael Dunworth"
snapdocs@y combinator,snapdocs,2014,y combinator,Aaron King
snapeda@y combinator,snapeda,2016,y combinator,Natasha Baker
snapette@500startups,snapette,2011,500startups,"Jinhee Ahn Kim, Sarah Paiji"
snapjoy@y combinator,snapjoy,2011,y combinator,"JP Ren, Michael Dwan"
snappr@y combinator,snappr,2017,y combinator,"Ed Kearney, Matt Schiller"
snaptalent@y combinator,snaptalent,2008,y combinator,"Brad Cater, Jamie Quint, Sumon Sadhu, Tim Davey"
snipd@y combinator,snipd,2008,y combinator,
socialcam@y combinator,socialcam,2012,y combinator,"Ammon Bartram, Guillaume Luccisano, Kyle Vogt, Michael Seibel"
socialfly@fbFund,socialfly,2008,fbFund,
socialight@500startups,socialight,2014,500startups,Dan Melinger
socialmoth@y combinator,socialmoth,2007,y combinator,
socialpandas@TheAlchemistAccelerator,socialpandas,2012,TheAlchemistAccelerator,"Gretchen DeKnikker, Jason Ouellette, Mark Trang"
solugen@y combinator,solugen,2017,y combinator,"Gaurab Chakrabarti, Sean Hunt"
solve-4@y combinator,solve-4,2017,y combinator,"Blaine Vess, Justin Vencel, Shawn Sheikh"
songkick@y combinator,songkick,2007,y combinator,"Adam Schiffer, Ian Hogarth, Matt Jones, Michelle You, Pete Finlay"
soundbetter-llc@500startups,soundbetter-llc,2014,500startups,"Itamar Yunger, Shachar Gilad"
soundfocus@y combinator,soundfocus,2013,y combinator,Alex Selig
soundrex@TheAlchemistAccelerator,soundrex,2017,TheAlchemistAccelerator,"Ashray Malhotra, Nikhil Abraham, Nisheeth Lahoti"
sourcedna@y combinator,sourcedna,2015,y combinator,Nate Lawson
sourceasy@500startups,sourceasy,2014,500startups,"Pranay Srinivasan, Samudra Neelam Bhuyan"
sourcify@y combinator,sourcify,2018,y combinator,Nathan Resnick
sown-to-grow@ImagineK12,sown-to-grow,2015,ImagineK12,
soylent-corporation@y combinator,soylent-corporation,2012,y combinator,"David Renteln, John Coogan, Matt Cauble, Rob Rhinehart"
spark-gift@y combinator,spark-gift,2015,y combinator,"Peggy Grigus Mangot, Tia Gao"
sparrow-2@500startups,sparrow-2,2015,500startups,"James F Kenefick, Matthew Bauer"
speakergram@500startups,speakergram,2011,500startups,
bizcoin@NFX,bizcoin,2015,NFX,"Elan Perach, Ofir Avigad"
spinal-singularity@y combinator,spinal-singularity,2016,y combinator,"Derek Herrera, Zach McKinney"
spinnakr@500startups,spinnakr,2011,500startups,"Adam Bonnifield, Michael Mayernick"
spinpunch@y combinator,spinpunch,2012,y combinator,Ian Tien
laclede-group@y combinator,laclede-group,2015,y combinator,"Jonathan Palley, Neema Moraveji"
splacer@NFX,splacer,2016,NFX,"ADI BIRAN, LIHI GERSTNER, Lior Ash"
spoil@y combinator,spoil,2015,y combinator,"Charles-Eric Gascon, James Traf"
spoondate@500startups,spoondate,2011,500startups,"Raissa Nebie, Van Nguyen"
spoonrocket@y combinator,spoonrocket,2013,y combinator,"Anson Tsui, Steven Hsiao"
sporthold@500startups,sporthold,2014,500startups,"Adam Dill-Macky, Christian Thurston, Tom Hom"
spotangels@y combinator,spotangels,2014,y combinator,"Aboud Jardaneh, Hamza Ouazzani Chahdi, Mehdi Sqalli"
sqoop-inc-@500startups,sqoop-inc-,2015,500startups,"Bill Hankes, David Kellum"
sqoot@500startups,sqoot,2012,500startups,Mo Yehia
sqreen@y combinator,sqreen,2018,y combinator,"Jean-Baptiste Aviat, Pierre Betouin"
squadle@500startups,squadle,2016,500startups,"Brendan Bencharit, Le Zhang"
getsquire@y combinator,getsquire,2016,y combinator,"Dave Salvant, Songe LaRon, Yas Tabasam"
stacklead@y combinator,stacklead,2014,y combinator,"Gordon Wintrob, Ted Tomlinson"
stackshare@500startups,stackshare,2015,500startups,Yonas Beshawred
stampery@BoostVC,stampery,2016,BoostVC,"Daniele Levi, Luis Cuende, Tommaso Prennushi"
stamplay@500startups,stamplay,2015,500startups,"Giuliano Iacobelli, Nicola Mattina"
standard-cognition@y combinator,standard-cognition,2017,y combinator,"Brandon Ogle, Daniel Fischetti, David Valdman, John Novak, Jordan Fisher, Michael Suswal, TJ Lutz"
standard-cyborg@y combinator,standard-cyborg,2015,y combinator,"Garrett Spiegel, Jeff Huber"
standard-treasury@y combinator,standard-treasury,2013,y combinator,"Brent Goldman, Daniel Kimerling, Zac Townsend"
starcity@y combinator,starcity,2016,y combinator,"Jesse Suarez, Jon Dishotsky, Josh Lehman, Mo Sakrani"
startclosing@y combinator,startclosing,2016,y combinator,
statsbot@500startups,statsbot,2016,500startups,"Artyom Keydunov, Mike Melanin, Pavel Tiunov"
statuspage@y combinator,statuspage,2013,y combinator,"Danny Olinsky, Scott Klein, Steven Klein"
statwing@y combinator,statwing,2012,y combinator,"Greg Laughlin, John Le"
stealthworker@y combinator,stealthworker,2016,y combinator,Ken Baylor
stilt@y combinator,stilt,2016,y combinator,"Priyank Singh, Rohit Mittal"
storyhunter@NFX,storyhunter,2015,NFX,"Alex Ragir, Jaron Gilinsky"
storyline@y combinator,storyline,2018,y combinator,"Maxim Abramchuck, Vasili Shynkarenka"
storypanda@500startups,storypanda,2012,500startups,"James Chutter, Pavel Bains"
storyworth@y combinator,storyworth,2011,y combinator,Nick Baum
strapping@500startups,strapping,2014,500startups,"Natalie Pavlovsky, Stephen Conn"
streak@y combinator,streak,2011,y combinator,"Aleem Mawani, Omar Ismail"
streamloan-inc@500startups,streamloan-inc,2016,500startups,"Armando Gonzalez, Stephen Bulfer"
streamup@y combinator,streamup,2016,y combinator,Kyle Michelson
streem@y combinator,streem,2012,y combinator,"Ritik Malhotra, Tanooj Luthra"
striking-ly@y combinator,striking-ly,2013,y combinator,"Dafeng Guo, Haisha Chen, Teng Bao"
stripe@y combinator,stripe,2009,y combinator,"John Collison, Patrick Collison"
strongintro@y combinator,strongintro,2016,y combinator,Fouad Matin
strypes@TheAlchemistAccelerator,strypes,2016,TheAlchemistAccelerator,Alexa Fleischman
studyedge@y combinator,studyedge,2012,y combinator,"Graham Rees, Zachary Stepp"
studypool@500startups,studypool,2014,500startups,"Jiaming Zhong, Richard Werbe"
studyroom@ImagineK12,studyroom,2012,ImagineK12,"Amadeus Malca, Emerson Malca, Peter Butler, Pindi Albert, Zach Johnston"
studysoup@500startups,studysoup,2014,500startups,"Jeff Silverman, Sieva Kozinsky"
style-lend@y combinator,style-lend,2014,y combinator,Lona Alia
stylebee@y combinator,stylebee,2016,y combinator,Anna Santeramo
styleup@y combinator,styleup,2013,y combinator,Kendall Herbst
stypi@y combinator,stypi,2011,y combinator,"Byron Milligan, Jason Chen, Jason Chen"
submishmash@y combinator,submishmash,2012,y combinator,"Bruce Tribbensee, John Brownell, Michael FitzGerald"
substack@y combinator,substack,2018,y combinator,"Hamish McKenzie, Jairaj Sethi"
sudden-coffee@y combinator,sudden-coffee,2018,y combinator,"Joshua Zloof, Kalle Freese"
sugarcube@Highway1,sugarcube,2014,Highway1,Sri Gogineni
suiteness@y combinator,suiteness,2016,y combinator,"Kyle Killion, Robbie Bhathal, Stephen Caudill"
sunfarmer@y combinator,sunfarmer,2016,y combinator,"Andy Moon, Jason Gray"
sunfolding@y combinator,sunfolding,2017,y combinator,Leila Madrone
sunu@y combinator,sunu,2017,y combinator,"Cuauhtli Padilla, Fabiola Suárez, Fernando Albertorio, Marco Trujillo"
supergleu@500startups,supergleu,2016,500startups,
supermedium@y combinator,supermedium,2018,y combinator,"Diego Goberna, Diego Marcos, Kevin Ngo"
supplybetter@TheAlchemistAccelerator,supplybetter,2014,TheAlchemistAccelerator,"James Bond, Matthew Du Pont, Robert Martinez"
supplyhog@500startups,supplyhog,2012,500startups,"Nathan Derrick, Philip Brown"
surematics@y combinator,surematics,2017,y combinator,Dan Hughes
surreal-games@BoostVC,surreal-games,2015,BoostVC,"Arthur Goikhman, Orchun Koroglu, Orcun Koroglu, Stephen Dacek"
upwave@y combinator,upwave,2012,y combinator,Chris Kelly
survmetrics@500startups,survmetrics,2014,500startups,"Bernardo Nishikawa, C?ásar Montelongo, Ramon Escobar"
svbtle@y combinator,svbtle,2012,y combinator,Dustin Curtis
sverve@500startups,sverve,2013,500startups,"Rohit Vashisht, Vikas Gupta"
swapbox@y combinator,swapbox,2013,y combinator,"Neel Murthy, Nitin Shantharam"
sway-finance@y combinator,sway-finance,2016,y combinator,"Ashwin Kumar, Catherine Jue"
swayable@y combinator,swayable,2018,y combinator,"James Slezak, Lyel Resner, Valerie Coffman"
swyft-2@BoostVC,swyft-2,2015,BoostVC,"Jonathan Simkin, Mike Smith, Will Dayton"
swiftype@y combinator,swiftype,2012,y combinator,"Matt Riley, Quin Hoxie"
swing-education@ImagineK12,swing-education,2015,ImagineK12,"Asha Visweswaran, Mike Teng"
swipes-app@TheAlchemistAccelerator,swipes-app,2015,TheAlchemistAccelerator,"Kasper Pihl Tornøe, Stefan Vladimirov, Yana Vlatchkova"
swish-labs@y combinator,swish-labs,2013,y combinator,
switch-embassy@Highway1,switch-embassy,2014,Highway1,"Alison Lewis, Florentin Hortopan, Peter Swearengen"
switchcam@500startups,switchcam,2011,500startups,"Brett Welch, Chris Hartley"
symple@y combinator,symple,2017,y combinator,"Christian Idylle, Steve Abraham"
synapsemx@500startups,synapsemx,2015,500startups,"Malcolm Burton, Shane Ballman"
synata@TheAlchemistAccelerator,synata,2013,TheAlchemistAccelerator,"Amy Kalnoki, Carter Foxgrover, Jateen Joshi, Patrick White"
sywork@y combinator,sywork,2015,y combinator,"Felipe Mechailech, Marcelo Echeverria"
t-j-designs@500startups,t-j-designs,2016,500startups,
tackl@500startups,tackl,2016,500startups,Tasha Choi
tagmonkey@500startups,tagmonkey,2016,500startups,"Galen Danziger, Patrick McLain"
tagove@500startups,tagove,2016,500startups,"Amrit Dhangal, Laduram Vishnoi"
talkable@y combinator,talkable,2011,y combinator,"Allan Grant, Brad Kam, Dominic Coryell, Jeff Yee, Nori Yoshida"
talkdesk@500startups,talkdesk,2011,500startups,"Cristina Fonseca, Tiago Paiva"
tikl@y combinator,tikl,2012,y combinator,Nan Zhong
tapdog@UpwestLabs,tapdog,2013,UpwestLabs,Ohad Winnykamien
tapengage@y combinator,tapengage,2011,y combinator,Sean Lynch
tapin-2@y combinator,tapin-2,2012,y combinator,"Adam Ryman, David Dancause, David Tyler, Jennifer Schumaker, Paul Cretu, Tyler Menezes, Vu Tran"
tappur@500startups,tappur,2014,500startups,"Lei Yu, Tyler Freeman"
tapzilla@y combinator,tapzilla,2010,y combinator,
tara@y combinator,tara,2015,y combinator,"Iba Masood, Syed Ahmed"
targetingmantra@500startups,targetingmantra,2014,500startups,"Rahul Singh, Saurabh Nangia"
tarjimly@y combinator,tarjimly,2018,y combinator,"Atif Javed, Aziz Alghunaim"
tastemaker@y combinator,tastemaker,2012,y combinator,"Esther Park, Joe Fraiman, Juan Vasquez, Kyle Larson"
glowing-plant@y combinator,glowing-plant,2014,y combinator,Antony Evans
teachboost@ImagineK12,teachboost,2012,ImagineK12,"Andrew Gioia, Jason DeRoner, Mike Gioia"
tealet@500startups,tealet,2012,500startups,"Christian Kamau, Elyse Petersen, Jie Gonsowski"
team-apart@y combinator,team-apart,2008,y combinator,
teaman-company@500startups,teaman-company,2014,500startups,"Alastair Trueger, Chloe Alpert"
teamly@500startups,teamly,2012,500startups,"Edward Robertshaw, Matt Berman, Scott Allison"
techmate-technologies@y combinator,techmate-technologies,2016,y combinator,"Colin Barceloux, David Brock, Shana Heron"
teespring@y combinator,teespring,2013,y combinator,"Evan Stites-Clayton, Walker Williams"
teevox@y combinator,teevox,2010,y combinator,"Andrew Sugaya, Jong-Moon Kim"
teleborder@y combinator,teleborder,2013,y combinator,"James Richards, Michael Smith"
teliportme@500startups,teliportme,2012,500startups,"Abhinav Asthana, Vineet Devaiah"
tellfi@y combinator,tellfi,2011,y combinator,"Conor Lee, Jason Corwin, Zain Memon"
templarbit@y combinator,templarbit,2017,y combinator,"Bjoern Zinssmeister, Matthias Kadenbach"
tenant-turner@y combinator,tenant-turner,2015,y combinator,"Brandon Anderson, Chris Stewart, James Barrett"
tendertree@500startups,tendertree,2012,500startups,Andy Agrawal
tenfoot@UpwestLabs,tenfoot,2012,UpwestLabs,"Idan Kepten, Ori Schnitzer"
tenjin@y combinator,tenjin,2014,y combinator,"Amir Manji, Christopher Farm"
tequitable@y combinator,tequitable,2018,y combinator,"Heidi Williams, Lisa Gelobter"
terascore@y combinator,terascore,2013,y combinator,"Adam Helybely, Balazs Moldovanyi, Viktor Takacs, Zsolt Muller"
terravion@y combinator,terravion,2014,y combinator,"Cornell Wright, Robert Morris"
tesorio@y combinator,tesorio,2015,y combinator,"Carlos Vega, Fabio Fleitas"
tetrascience-inc-@y combinator,tetrascience-inc-,2015,y combinator,"Alok Tayi, Salvatore Savo, Siping Wang"
text-iq@TheAlchemistAccelerator,text-iq,2016,TheAlchemistAccelerator,"Apoorv Agarwal, Omar Haroun"
text-to-ticket@500startups,text-to-ticket,2017,500startups,"Gagan Johal, Jesse Day, Steven Nguyen"
textpayme@y combinator,textpayme,2005,y combinator,"CJ Huang, Gerald Yuen, Greg Lambrecht, Philip Yuen"
thankster-inc@fbFund,thankster-inc,2008,fbFund,Paul Geller
the-athletic@y combinator,the-athletic,2016,y combinator,"Adam Hansmann, Alex Mather"
flextronics-international@y combinator,flextronics-international,2016,y combinator,"Erika Jensen, Lauren Schulte, Panpan Wang"
the-human-utility@y combinator,the-human-utility,2015,y combinator,"Kristy Tillman, Tiffani Bell"
the-lobby@y combinator,the-lobby,2018,y combinator,Deepak Chhugani
the-mednet@y combinator,the-mednet,2017,y combinator,"Nadine Housri, Samir Housri"
the-muse@y combinator,the-muse,2012,y combinator,"Alex Cavoulacos, Kathryn Minshew, Melissa McCreery"
the-pill-club@500startups,the-pill-club,2016,500startups,Nicholas Chang
the-podcast-app@y combinator,the-podcast-app,2018,y combinator,MartÏ±†n Siniawski
treeline@y combinator,treeline,2015,y combinator,"Cody Stoltman, Irl Nathan, Mike McNeil, Scott Gress"
the-ticket-fairy@y combinator,the-ticket-fairy,2015,y combinator,"Jigar Patel, Ritesh Patel"
themidgame@y combinator,themidgame,2015,y combinator,"AndrÏ±ïs Felipe DÏ±†az, Carlos Saavedra"
shop-theorem@y combinator,shop-theorem,2014,y combinator,"Adam Roberts, Ryan Jackson"
thinair@y combinator,thinair,2015,y combinator,Tony Gauda
think-gaming@y combinator,think-gaming,2014,y combinator,"Michael Hoydich, Ted Shergalis, Tim Ogilvie"
thinkature@y combinator,thinkature,2006,y combinator,
thinknum@500startups,thinknum,2014,500startups,"Gregory Ugwi, Justin Zhen"
thread-com@y combinator,thread-com,2012,y combinator,"Aaron Muszalski, Ian Baker, Jared Grippe, Nicole Aptekar"
transcend-lighting@y combinator,transcend-lighting,2015,y combinator,Brian Bennett
thunkable@y combinator,thunkable,2016,y combinator,"Arun Saigal, WeiHua Li"
ticketstumbler@y combinator,ticketstumbler,2008,y combinator,"Dan Haubert, Tom Davis"
tickle@ImagineK12,tickle,2014,ImagineK12,
ticktate@500startups,ticktate,2016,500startups,"Brandon Cato, Brian Canty"
tie-society@500startups,tie-society,2012,500startups,"Jake Kuczeruk, Zac Gittens"
tika@TheAlchemistAccelerator,tika,2017,TheAlchemistAccelerator,"Pattabi Seshadri, Ricky Fung"
crowdtilt@y combinator,crowdtilt,2012,y combinator,"James Beshara, Karolyn Baxter, Khaled Hussein"
timbuktu-labs@500startups,timbuktu-labs,2012,500startups,"Elena Favilli, Francesca Cavallo"
tiny-review@500startups,tiny-review,2011,500startups,"Dick Brouwer, Melissa Miranda"
tioki@ImagineK12,tioki,2012,ImagineK12,Mandela Schumacher-Hodge
tipe@y combinator,tipe,2018,y combinator,"Mike Moss, Patrick Stapleton, Scott Moss"
tipjoy@y combinator,tipjoy,2008,y combinator,"Abigail Kirigin, Ivan Kirigin"
tl-biolabs-9280@y combinator,tl-biolabs-9280,2016,y combinator,
token-transit@y combinator,token-transit,2017,y combinator,"Ekate Kuznetsova, Morgan Conbere, Sam Daly, Zack Browne"
tolemi@y combinator,tolemi,2017,y combinator,"Alexander Kapur, Andrew Kieve, Nicolas Tejera"
tomoguides@y combinator,tomoguides,2012,y combinator,
whim@500startups,whim,2014,500startups,Eve Peters
tophatch@500startups,tophatch,2015,500startups,"Ben Merrill, David Brittain"
toshl-inc@500startups,toshl-inc,2012,500startups,"Matic Bitenc, Miha Hribar"
totemic-labs@y combinator,totemic-labs,2017,y combinator,"Brad Eckert, Kiran Joshi, Neal Khosla"
totspot@500startups,totspot,2014,500startups,"Vijay Ramani, Vikrant Ramteke"
tout@500startups,tout,2011,500startups,Michael Downing
toutpost@y combinator,toutpost,2013,y combinator,"Alex Morse, Matt Schultz"
tovala@y combinator,tovala,2016,y combinator,"Bryan Wilcox, David Rabie"
toymail-co-@y combinator,toymail-co-,2016,y combinator,"Audry Hill, Gauri Nanda"
trac@y combinator,trac,2016,y combinator,"Elliot Hevel, Griffin Kelly"
traceair@500startups,traceair,2016,500startups,Dmitry Korolev
withabound@500startups,withabound,2016,500startups,"Alex Cram, Chris van Vleit, Christophe Labasky, Trent Bigelow"
trackin@y combinator,trackin,2015,y combinator,Bruno Didier
tracks-by@y combinator,tracks-by,2012,y combinator,"Chase Sechrist, Matt Schlicht, Mazy Kazerooni"
tradeblock@y combinator,tradeblock,2014,y combinator,"Greg Schvey, Jeff Schvey"
trailbehind@fbFund,trailbehind,2008,fbFund,
traitperception@500startups,traitperception,2012,500startups,"Borja Martin, Jose Ignacio Fernandez, Juan Cartagena"
trance@500startups,trance,2015,500startups,"Harper LaFave, Marwa Muhammad"
transcriptic-5825@y combinator,transcriptic-5825,2015,y combinator,Max Hodak
translate-abroad@500startups,translate-abroad,2012,500startups,
transweb-educational-services-pvt-ltd@500startups,transweb-educational-services-pvt-ltd,2016,500startups,"Aditya Singhal, Nishant Sinha"
traveljoy@NFX,traveljoy,2016,NFX,Dayo Esho
treasury-prime@y combinator,treasury-prime,2018,y combinator,Jim Brusstar
treat@500startups,treat,2016,500startups,"Marta Crowe, Steve Simitzis"
trigger-io@y combinator,trigger-io,2008,y combinator,"Amir Nathoo, James Brady, Sahil Jain"
trinket@ImagineK12,trinket,2014,ImagineK12,"Brian Marks, Elliott Hauser"
triplebyte@y combinator,triplebyte,2015,y combinator,"Ammon Bartram, Guillaume Luccisano, Harjeet Taggar"
trucktrack@500startups,trucktrack,2015,500startups,Vuk Nikoli?? Vuka?Ñin Stojkov
true-link-financial@y combinator,true-link-financial,2013,y combinator,"Claire McDonnell, Kai Stinchcombe"
truebill@y combinator,truebill,2016,y combinator,"Idris Mokhtarzada, Yahya Mokhtarzada"
truecare24@500startups,truecare24,2017,500startups,"Bianca Gonzalez, Bimohit Bawa, Leo Popov"
truevault@y combinator,truevault,2014,y combinator,"Jason Wang, Trey Swann"
fuel-5@500startups,fuel-5,2016,500startups,
trustcloud@500startups,trustcloud,2014,500startups,"Miles Spencer, Treven Cornwall, Xin Chung"
trustegg@y combinator,trustegg,2011,y combinator,"Jeffrey Brice, John Zdanowski"
trym@500startups,trym,2016,500startups,"Jonathan Cottrell, Kirk Morales, Scott Bradley"
tsumobi@y combinator,tsumobi,2007,y combinator,"Adam Bouhenguel, Joshua Wilson"
tule@y combinator,tule,2014,y combinator,"Jeff LaBarge, Tom Shapland"
tutorspree@y combinator,tutorspree,2011,y combinator,"Aaron Harris, Josh Abrams, Ryan Bednar"
twitmusic@500startups,twitmusic,2012,500startups,"Christian Fazzini, Stefano Fazzini"
two-tap@y combinator,two-tap,2014,y combinator,"Radu Spineanu, Razvan Roman"
tyche@TheAlchemistAccelerator,tyche,2014,TheAlchemistAccelerator,"Adam Cassady, David DeAngelis"
tylr-mobile@TheAlchemistAccelerator,tylr-mobile,2013,TheAlchemistAccelerator,"Marlin Scott, Matthew Beebe, Ryan Nichols"
ubicall@TheAlchemistAccelerator,ubicall,2015,TheAlchemistAccelerator,"Antoine Megalla, Khaled Nazif, Mohamed El Hagry"
ubiq-toolbox@y combinator,ubiq-toolbox,2017,y combinator,"Jayanth Kottapalli, Sumit Pasupalak"
grom@500startups,grom,2015,500startups,"Koen Munneke, Vincent Van de Poll"
uguru@500startups,uguru,2014,500startups,"Michael Koh, Samir Makhani"
umake@UpwestLabs,umake,2014,UpwestLabs,"Erik Sapir, Evi Meyer"
umba@500startups,umba,2012,500startups,Lauren Thorp
underground-cellar@y combinator,underground-cellar,2015,y combinator,"Ben Herila, Jeffrey Shaw"
unimersiv@BoostVC,unimersiv,2015,BoostVC,Baptiste Greve
uniquid-inc@TheAlchemistAccelerator,uniquid-inc,2016,TheAlchemistAccelerator,Stefano Pepe
universe@y combinator,universe,2018,y combinator,Joseph Cohen
unlimited-reality@NFX,unlimited-reality,2016,NFX,"Andy Schwartz, Nir Gorali, Oded Shoshan"
unnyhog@y combinator,unnyhog,2016,y combinator,"Andrey Apanasik, Margarita Belorukova, Pavel Ignatov"
up-all-night@500startups,up-all-night,2016,500startups,"Chris Smith, Prem Kumta"
upcall@y combinator,upcall,2017,y combinator,"Michael Devyver, Samuel Devyver"
upcodes@y combinator,upcodes,2017,y combinator,"Garrett Reynolds, Scott Reynolds"
upcraft-club@500startups,upcraft-club,2016,500startups,Elizabeth Caven
updroid@Highway1,updroid,2015,Highway1,"Kartik Tiwari, Mike Lewis"
upgraded@y combinator,upgraded,2016,y combinator,"Hendrik Roosna, John Erik Metcalf, JR Rahn, Martin Samami"
upkeep-maintenance-management@y combinator,upkeep-maintenance-management,2017,y combinator,Ryan Chan
materialup@y combinator,materialup,2016,y combinator,"Guillemette Dejean, Matthieu Aussaguel"
